,0
247,стр≥чний
248,танець
249,роздирати
250,н€вка
251,жити
252,л≥с
253,голос
254,сокира
255,¬ище
256,безводний
257,далекий
258,неде€х
259,н€вка
260,розводити
261,безконечний
262,танок
263,скел€
264,ховатис€
265,щезник
266,розказати
267,русалка
268,гарний
269,днина
270,виходити
271,вода
272,берег
273,сп≥вати
274,п≥сн€
275,вигадувати
276,байк
277,молитва
278,потопельник
279,зах≥д
280,сонце
281,сушити
282,бл≥де
283,т≥ло
284,кам≥нь
285,р≥чка
286,вс€кий
287,злий
288,дух
289,заповнювати
290,скел€
291,л≥с
292,провалл€
293,хата
294,загорода
295,чигати
296,христи€нин
297,маржина
298,зробити
299,шкода
300,прокинувшись
301,уноч≥
302,серед
303,ворожий
304,тиша
305,тремт≥ти
306,сповнений
307,жах
308,св≥т
309,казка
310,повний
311,чудо
312,таЇмничий
313,ц≥кавий
314,страшний
315,мати
316,обов'€зок
317,посилати
318,пасти
319,корова
320,гнати
321,л≥с
322,жовтаню
323,голубаню
324,потопати
325,хвил€
326,л≥совий
327,трава
328,молодий
329,смеречка
330,зв≥дти
331,обзивались
332,вода
333,тужливий
334,дзв≥н
335,дзв≥нок
336,с≥дати
337,десь
338,узб≥чч€
339,гора
340,виймати
341,денц≥вка
342,соп≥лка
343,вигравав
344,немудрий
345,п≥сн€
346,навчитис€
347,од
348,старший
349,музика
350,вдовольн€ти
351,досада
352,кидати
353,денц≥вка
354,слухати
355,мелод≥€
356,жити
357,не€сний
358,невловимий
359,знизу
360,п≥д≥йматис€
361,≥ван
362,затоплював
363,гора
364,глухий
365,гом≥н
366,р≥ка
367,капати
368,од
369,прозорий
370,дзв≥н
371,колок≥льц€
372,галузка
373,смерека
374,вигл€дати
375,зажурений
376,гора
377,напоЇний
378,сум
379,т≥нь
380,од
381,хмара
382,стирати
383,бл≥ду
384,усм≥шка
385,царинок
386,гора
387,щохвилини
388,м≥н€ти
389,св≥й
390,настр≥й
391,см≥€тис€
392,царинка
393,хмуритис€
394,л≥с
395,трудно
396,вдивитись
397,рухливий
398,обличч€
399,гора
400,трудно
401,дитина
402,сп≥ймати
403,химерний
404,мелод≥€
405,п≥сн€
406,вилась
407,тр≥пати
408,крильце
409,коло
410,вухо
411,давалась
412,покинути
413,корова
414,подр€патис€
415,самий
416,грунь
417,верх
418,пом≥тний
419,стежка
420,п≥д≥ймавсь
421,вище
422,вище
423,пом≥ж
424,густ€
425,зарослий
426,бл≥дий
427,папороть
428,колючий
429,ожина
430,малина
431,легко
432,перескакувати
433,кам≥нець
434,кам≥нчик
435,перелазити
436,повалений
437,дерево
438,продиравс€
439,кр≥зь
440,г≥лл€чка
441,кущ
442,п≥д≥йматис€
443,долина
444,в≥чний
445,шум
446,р≥чка
447,рости
448,гора
449,вставати
450,крайнеб≥
451,блакитний
452,привид
453,чорногора
454,довгий
455,плакучий
456,трава
457,крити
458,б≥к
459,гора
460,дзв≥нка
461,корова
462,обзивались
463,далекий
464,з≥тханн€
465,попадалось
466,великий
467,кам≥нн€
468,сам≥м
469,вершок
470,творило
471,хаос
472,поламаний
473,скел€
474,списаний
475,лишай
476,здушений
477,гадючий
478,об≥йми
479,кор≥нн€
480,смерека
481,нога
482,≥ван
483,кождий
484,кам≥нь
485,вкривали
486,рудавий
487,мхи
488,грубий
489,м'€кий
490,шовковий
491,теплий
492,н≥жний
493,ховати
494,позолочений
495,сонце
496,вода
497,л≥тн≥й
498,дощ
499,м'€ко
500,вгинатис€
501,об≥ймати
502,нога
503,пуховий
504,подушка
505,кучер€вий
506,зелень
507,гогоз≥в
508,афин
509,запустити
510,кор≥нн€
511,глиб≥нь
512,мох
513,зверху
514,сипнути
515,роса
516,червоний
517,син≥й
518,€года
519,≥ван
520,с≥сти
521,одпочити
522,н≥жно
523,дзвен≥ти
524,хво€
525,смерек
526,зм≥шавшись
527,шум
528,р≥ка
529,сонце
530,налл€ло
531,злот
532,глибокий
533,долина
534,зазеленити
535,трава
536,десь
537,куритис€
538,син≥й
539,димок
540,од
541,ватра
542,≥гриц€
543,оксамитовий
544,гул
545,котитис€
546,гр≥м
547,≥ван
548,сид≥ти
549,слухати
550,забувши
551,догл€дати
552,корова
553,с≥й
554,дзв≥нкий
555,тиша
556,почути
557,тихий
558,музика
559,невловиме
560,вилась
561,круг
562,вухо
563,справл€ти
564,мука
565,застиглий
566,нерухомий
567,вит€гнути
568,ши€
569,рад≥сний
570,напруженн€
571,ловити
572,дивний
573,мелод≥€
574,п≥сн€
575,люда
576,грати
577,принаймн≥
578,чути
579,грати
580,пустка
581,самотн≥й
582,л≥с
583,видно
584,живий
585,душа
586,≥ван
587,озирнутис€
588,скел€
589,скамен≥в
590,кам≥нь
591,верх
592,сид≥ти
593,щезник
594,скривити
595,гострий
596,бор≥дка
597,нагнути
598,р≥жок
599,заплющивши
600,око
601,дути
602,фло€ру
603,нема
604,коза
605,нема
606,коза
607,розливалась
608,жаль
609,фло€ра
610,р≥жок
611,п≥дн€тис€
612,щока
613,надулись
614,розплющились
615,око
616,коза
617,коза
618,заскакати
619,рад≥сно
620,згук
621,≥ван
622,жах
623,побачити
624,виткнувшись
625,галузок
626,затр€сти
627,голова
628,бородатий
629,цап
630,хт≥в
631,т≥кати
632,сид≥ти
633,прикутий
634,м≥сце
635,н≥мо
636,кричати
637,од
638,холодний
639,жах
640,врешт≥
641,видобув
642,голос
643,щезник
644,звинутис€
645,пропасти
646,скел€
647,цап
648,обернутис€
649,кор≥нн€
650,дерево
651,повалений
652,в≥тер
653,≥ван
654,гнати
655,т€ма
656,наосл≥п
657,рвати
658,зрадливий
659,об≥йми
660,ожина
661,ламати
662,сухий
663,г≥лл€чка
664,котитис€
665,слизький
666,мхах
667,жах
668,чути
669,гнатис€
670,впасти
671,лежати
672,пам'€тати
673,прийшовши
674,вздр≥вши
675,знайомий
676,м≥сце
677,заспокоњтис€
678,здивований
679,наслухати
680,€кийсь
681,п≥сн€
682,здаватис€
683,брин≥ти
684,вийн€ти
685,денц≥вка
686,«разу
687,йти
688,мелод≥€
689,давалась
690,починати
691,грати
692,напружувати
693,пам'€ть
694,ловити
695,€кийсь
696,згук
697,врешт≥
698,знайти
699,в≥ддавна
700,шукати
701,давати
702,спок≥й
703,л≥с
704,поплисти
705,чудний
706,в≥домий
707,п≥сн€
708,рад≥сть
709,вступити
710,серце
711,залл€ти
712,сонце
713,гора
714,л≥с
715,трава
716,заклекот≥ти
717,пот≥к
718,п≥дн€ти
719,нога
720,≥ван
721,пожбурнувши
722,денц≥вка
723,трава
724,вз€вшись
725,б≥к
726,закружитис€
727,танець
728,перебирати
729,нога
730,ставати
731,легко
732,палець
733,бити
734,босий
735,п'€та
736,земл€
737,щ≥бав
738,голубець
739,крутитис€
740,прис≥дати
741,коза
742,коза
743,сп≥вало
744,сон€чний
745,пл€ма
746,пол€нка
747,закрастис€
748,похмуре
749,царство
750,смерека
751,скакав
752,б≥ленький
753,хлопчик
754,немов
755,метелик
756,пурхав
757,стебло
758,стеблина
759,обидва
760,корова
761,жовтан€
762,голубан€
763,просунувши
764,голова
765,межи
766,галузка
767,прив≥тно
768,дивитис€
769,жуючи
770,жуйка
771,зр≥дка
772,дзвонили
773,танець
774,знайти
775,л≥с
776,шукати
777,вдома
778,родина
779,≥ван
780,св≥док
781,неспокою
782,горе
783,пам'€ть
784,дв≥ч≥
785,коло
786,хата
787,тремб≥тати
788,тремб≥та
789,опов≥щаючи
790,гора
791,д≥л
792,смерть
793,брат
794,олексу
795,роздушити
796,дерево
797,л≥с
798,вдруге
799,брачч≥к
800,василь
801,файний
802,веселий
803,лег≥нь
804,загинути
805,б≥йка
806,ворожий
807,род
808,пос≥чений
809,топ≥рець
810,се
811,старий
812,ворожнеча
813,њхн≥й
814,род
815,род
816,гутенюк≥в
817,родина
818,кип≥ти
819,зл≥сть
820,завз€тт€
821,ди€вольський
822,р≥д
823,н≥хто
824,докладно
825,розказати
826,≥ван
827,зв≥дки
828,п≥ти
829,ворожнеча
830,гор≥ти
831,бажанн€
832,помститись
833,хапавсь
834,тат≥в
835,бартка
836,важкий
837,готовий
838,кинутись
839,б≥й
840,байка
841,≥ван
842,батько
843,анничка
844,двадц€та
845,њхн≥й
846,родина
847,невеликий
848,старин≥
849,двоЇ
850,п'€теро
851,дитина
852,решта
853,спочило
854,цвинтар
855,церковц€
856,богом≥льний
857,любити
858,ходити
859,церква
860,храм
861,побачитись
862,далекий
863,род
864,ос≥вс€
865,околишн≥й
866,село
867,трапл€лась
868,нагода
869,одд€чити
870,гутенюкам
871,смерть
872,василеву
873,кров
874,чюрила
875,пал≥йчук≥в
876,вит€гатис€
877,найкращий
878,луд≥нн€
879,одежа
880,новий
881,крашениц≥
882,писаний
883,кептар
884,черес
885,таб≥вки
886,набиваний
887,цв€х
888,дрот€ний
889,запаска
890,черлений
891,хустка
892,шовковий
893,пишний
894,б≥лосн≥жний
895,іуіл€
896,€кий
897,обережно
898,нести
899,ц≥пка
900,плече
901,≥ван
902,д≥стати
903,новий
904,кресаню
905,довгий
906,дзьобню
907,бити
908,нога
909,с≥длатис€
910,к≥нь
911,суточками
912,зелений
913,верх
914,≥ти
915,пишний
916,пох≥д
917,закосичував
918,плай
919,гейби
920,червоний
921,мак
922,гора
923,д≥л
924,верх
925,т€гтис€
926,св€точно
927,прибраний
928,люда
929,зелений
930,отава
931,царинок
932,розцв≥талас€
933,вздовж
934,черемош
935,плив
936,р≥знобарвний
937,пот≥к
938,десь
939,високо
940,чорний
941,запинал≥
942,смерековий
943,л≥с
944,жар
945,гор≥ти
946,ран≥шн≥й
947,сонце
948,червоний
949,дашок
950,гуцульський
951,парасол€
952,незабаром
953,≥ван
954,побачити
955,стр≥чу
956,ворожий
957,р≥д
958,вертати
959,храм
960,тато
961,напитиц
962,вузенький
963,дорога
964,скел€
965,черемош
966,зробитис€
967,тиск
968,в≥з
969,к≥нний
970,п≥ший
971,чолов≥к
972,ж≥нка
973,спинитис€
974,збились
975,купа
976,лютий
977,гвалт
978,зв≥€тис€
979,одразу
980,вихор
981,нев≥домо
982,од
983,заблищали
984,зал≥зний
985,бартка
986,заскакати
987,обличч€
988,крем≥нь
989,криц€
990,ст€лись
991,р≥д
992,гутенюки
993,пал≥йчуками
994,перше
995,≥ван
996,встигти
997,роз≥брати
998,йтис€
999,тато
1000,розмахнути
1001,бартка
1002,вдарити
1003,плаз
1004,хтось
1005,чоло
1006,бризнула
1007,кров
1008,залл€ти
1009,лице
1010,сорочка
1011,пишний
1012,кептар
1013,йойкнула
1014,чел€дь
1015,кинутис€
1016,одт€гати
1017,людина
1018,лице
1019,червоний
1020,гач≥
1021,т€ти
1022,бартка
1023,ворог
1024,голова
1025,похитнутис€
1026,≥ван≥в
1027,тато
1028,п≥дт€тий
1029,смерека
1030,≥ван
1031,кинутис€
1032,б≥йка
1033,пам'€тати
1034,робити
1035,п≥дн€ти
1036,доросл≥
1037,потолочити
1038,нога
1039,протиснутись
1040,битис€
1041,гар€чий
1042,роз'юшений
1043,зл≥сть
1044,наскочити
1045,розг≥н
1046,маленький
1047,д≥вча
1048,тр€стис€
1049,жах
1050,в≥з
1051,ага
1052,—е
1053,певно
1054,гутенюкова
1055,д≥вка
1056,думавши
1057,ударити
1058,лице
1059,скривилась
1060,притулити
1061,рука
1062,груди
1063,сорочка
1064,т≥кати
1065,≥ван
1066,зловити
1067,коло
1068,р≥ка
1069,шарпнути
1070,пазуха
1071,роздер
1072,зв≥дти
1073,впасти
1074,земл€
1075,новий
1076,к≥сник
1077,д≥вчинка
1078,крик
1079,кинутис€
1080,захищати
1081,видерти
1082,кинути
1083,вода
1084,д≥вчинка
1085,з≥гнутий
1086,подивитис€
1087,сп≥длоба
1088,€кийсь
1089,глибокий
1090,з≥р
1091,чорний
1092,матовий
1093,око
1094,спок≥йно
1095,н≥чьо
1096,другий
1097,май
1098,л≥пш≥
1099,наче
1100,пот≥шала
1101,здивований
1102,лаг≥дний
1103,тон
1104,хлопець
1105,мовчати
1106,нен€
1107,купити
1108,новий
1109,запаска
1110,пост≥л
1111,мережаний
1112,капчур≥
1113,знати
1114,си
1115,обую
1116,файно
1117,д≥вка
1118,заздр≥сно
1119,стати
1120,вм≥ти
1121,грати
1122,денц≥вка
1123,фед≥р
1124,зробити
1125,си
1126,такий
1127,файний
1128,фло€ра
1129,зайграЇ
1130,≥ван
1131,надутис€
1132,щезник
1133,бачити
1134,неймов≥рно
1135,подивитис€
1136,нащо
1137,б'Їш
1138,си
1139,нашо
1140,коло
1141,в≥з
1142,сто€ти
1143,подумати
1144,знаючи
1145,одпов≥сти
1146,шукать
1147,пазуха
1148,вит€гти
1149,врешт≥
1150,довгий
1151,цукерка
1152,ади
1153,половина
1154,вкусила
1155,другий
1156,поважний
1157,повний
1158,дов≥р'€
1159,рух
1160,подати
1161,завагатис€
1162,уз€ти
1163,сид≥ти
1164,р€дочок
1165,забувши
1166,вереск
1167,б≥йка
1168,сердитий
1169,шум
1170,р≥чка
1171,опов≥дала
1172,зватис€
1173,мар≥чка
1174,пасе
1175,дроб'Їта
1176,в≥вц€
1177,€кийсь
1178,марцинова
1179,сл≥пий
1180,один
1181,око
1182,покрасти
1183,мука
1184,обоЇ
1185,ц≥кавий
1186,близький
1187,зрозум≥лий
1188,погл€д
1189,чорний
1190,матовий
1191,око
1192,м'€ко
1193,поринати
1194,≥ван≥в
1195,серце
1196,втретЇ
1197,затремб≥тала
1198,тремб≥та
1199,смерть
1200,самотний
1201,хата
1202,високий
1203,кичера
1204,другий
1205,б≥йка
1206,померти
1207,старий
1208,пал≥йчук
1209,т€жкий
1210,час
1211,настати
1212,родина
1213,≥ван
1214,смерть
1215,газди
1216,загн≥здилось
1217,безладд€
1218,спливати
1219,гаразд
1220,продавались
1221,царинка
1222,одна
1223,маржина
1224,десь
1225,танути
1226,гора
1227,весна
1228,сн≥ги
1229,≥ван≥в
1230,пам'€ть
1231,тат≥в
1232,смерть
1233,жити
1234,знайом≥сть
1235,д≥вчам
1236,скривджений
1237,безневинно
1238,повний
1239,дов≥р'€
1240,рух
1241,подати
1242,половина
1243,цукерок
1244,давн≥й
1245,безпричинний
1246,смуток
1247,влилась
1248,новий
1249,теч≥йка
1250,несв≥домо
1251,т€гти
1252,гора
1253,носити
1254,сус≥дн≥й
1255,кичерах
1256,л≥с
1257,долина
1258,стр≥ти
1259,мар≥чка
1260,стр≥тис€
1261,пасла
1262,€гн€
1263,мар≥чка
1264,прийн€ти
1265,спод≥валась
1266,пасти
1267,овечка
1268,справд≥
1269,Ќехай
1270,жовтан€
1271,голубан€
1272,бити
1273,колок≥льц≥
1274,вир≥кують
1275,л≥с
1276,йн€ти
1277,пасти
1278,€гн€
1279,пасти
1280,б≥лий
1281,€рок
1282,збившись
1283,холодок
1284,смерека
1285,дивились
1286,дурний
1287,око
1288,качались
1289,мхах
1290,двоЇ
1291,дитина
1292,дзвон€чи
1293,тиша
1294,молодий
1295,см≥х
1296,втомившись
1297,забирались
1298,б≥лий
1299,кам≥нн€
1300,л€чно
1301,зазирали
1302,зв≥дти
1303,пр≥рва
1304,стр≥мко
1305,п≥д≥йматис€
1306,небо
1307,чорний
1308,привид
1309,гора
1310,дихати
1311,синню
1312,хт≥ла
1313,танути
1314,сонц≥
1315,щ≥лина
1316,пом≥ж
1317,гора
1318,лет≥ти
1319,долина
1320,пот≥к
1321,тр€с
1322,кам≥нн€
1323,сивий
1324,борода
1325,тепло
1326,самотньо
1327,л€чно
1328,в≥ков≥чний
1329,тиша
1330,€кий
1331,берегти
1332,л≥с
1333,дитина
1334,чути
1335,власне
1336,диханн€
1337,вухо
1338,уперто
1339,ловити
1340,поб≥льшати
1341,найб≥льший
1342,розм≥р
1343,ус€кий
1344,згук
1345,мусити
1346,жити
1347,л≥с
1348,часом
1349,здаватис€
1350,чути
1351,чийсь
1352,х≥д
1353,потайний
1354,глухий
1355,гупанн€
1356,барда
1357,хеканн€
1358,втомлений
1359,груди
1360,чути
1361,≥ва
1362,шепот≥ла
1363,мар≥чка
1364,мати
1365,чути
1366,чути
1367,знати
1368,бродити
1369,л≥с
1370,невидима
1371,сокира
1372,гупа
1373,об
1374,дерево
1375,хека
1376,втомлений
1377,груди
1378,л€к
1379,проган€в
1380,зв≥дти
1381,долина
1382,пот≥к
1383,плив
1384,спок≥йн≥ше
1385,робити
1386,курбало
1387,пот≥к
1388,глибокий
1389,м≥сце
1390,розд€гтис€
1391,бовтались
1392,двоЇ
1393,л≥сний
1394,зв≥р€
1395,знати
1396,сором
1397,сонце
1398,спочивати
1399,€сн≥м
1400,волосс≥
1401,бити
1402,око
1403,льодовий
1404,вода
1405,пот≥к
1406,щипала
1407,т≥ло
1408,мар≥чка
1409,перший
1410,змерзала
1411,пускалас€
1412,б≥гти
1413,ст≥й
1414,гукати
1415,≥ван
1416,зв≥дки
1417,вор
1418,рова
1419,цокот≥ти
1420,зуб
1421,син≥й
1422,мар≥чка
1423,ковальова
1424,бувати
1425,здоровий
1426,ковальова
1427,щипати
1428,≥ван
1429,пускавсь
1430,доган€ти
1431,потомлений
1432,загр≥тий
1433,падати
1434,трава
1435,тих≥м
1436,плес≥
1437,пот≥чка
1438,€кий
1439,гор≥ти
1440,цар≥вник
1441,сон€чний
1442,св≥т
1443,син
1444,лабуштан
1445,низка
1446,черевичок
1447,жал≥бно
1448,кумкати
1449,жаба
1450,≥ван
1451,нахил€тис€
1452,понад
1453,пот≥к
1454,питати
1455,жаба
1456,кума
1457,кум
1458,шо
1459,с
1460,варила
1461,бурак
1462,борщ
1463,бурак
1464,борщ
1465,бурак
1466,борщ
1467,кректати
1468,мар≥чка
1469,бураки
1470,ки
1471,ки
1472,бураки
1473,ки
1474,ки
1475,бураки
1476,ки
1477,ки
1478,верещали
1479,заплющивши
1480,око
1481,жаба
1482,здивувати
1483,мовкли
1484,пасти
1485,розгубити
1486,овечка
1487,старший
1488,стати
1489,забава
1490,≥ван
1491,уж
1492,лег≥нь
1493,стрункий
1494,м≥цний
1495,смер≥чка
1496,мастив
1497,кучер
1498,масло
1499,носити
1500,широкий
1501,черес
1502,пишний
1503,кресаню
1504,мар≥чка
1505,ходити
1506,запл≥тках
1507,се
1508,значити
1509,готовий
1510,в≥ддатись
1511,пасти
1512,вкуп≥
1513,€гн€
1514,стр≥чались
1515,лиш
1516,св€то
1517,нед≥л€
1518,сходились
1519,коло
1520,церква
1521,десь
1522,л≥с
1523,старин€
1524,знати
1525,кохатис€
1526,дитина
1527,ворожий
1528,р≥д
1529,мар≥чка
1530,любити
1531,грати
1532,фло€ру
1533,задуманий
1534,встромл€ти
1535,око
1536,кудись
1537,поза
1538,гора
1539,неначе
1540,вид
1541,бачити
1542,друг≥
1543,прикладати
1544,мережаний
1545,дудка
1546,повний
1547,уст
1548,чудний
1549,п≥сн€
1550,н≥хто
1551,грати
1552,тихо
1553,спадати
1554,зелений
1555,отава
1556,царинок
1557,виг≥дно
1558,послати
1559,т≥нь
1560,смерека
1561,холодно
1562,мороз
1563,йти
1564,поза
1565,шкура
1566,вил≥тати
1567,перший
1568,свист€чий
1569,згук
1570,наче
1571,зима
1572,лежати
1573,мертвий
1574,гора
1575,гора
1576,вставати
1577,бог
1578,сонце
1579,вкладати
1580,голова
1581,земл€
1582,зрушились
1583,зима
1584,збудитис€
1585,вода
1586,задзвен≥ти
1587,земл€
1588,од
1589,сп≥в
1590,пот≥к
1591,розсипатис€
1592,сонце
1593,пил
1594,кв≥тка
1595,легкий
1596,х≥д
1597,≥ти
1598,царинка
1599,н€вка
1600,нога
1601,зелен≥Ї
1602,перший
1603,трава
1604,зелений
1605,дух
1606,дихнути
1607,смерека
1608,зелений
1609,см≥х
1610,засм≥€тис€
1611,трава
1612,св≥т
1613,барва
1614,зелений
1615,земл€
1616,блакитний
1617,небо
1618,долом
1619,черемош
1620,мчати
1621,жене
1622,зелений
1623,кров
1624,гора
1625,неспок≥йний
1626,шумливу
1627,тремб≥та
1628,тур
1629,рай
1630,ра
1631,тур
1632,рай
1633,ра
1634,заграти
1635,серце
1636,в≥вчар
1637,забле€ли
1638,в≥вц€
1639,учувши
1640,паша
1641,шум≥ти
1642,шваром
1643,полонина
1644,холодний
1645,дикий
1646,лом
1647,гайна
1648,вставати
1649,задн≥й
1650,лаби
1651,ведм≥дь
1652,пробувати
1653,голос
1654,бачити
1655,заспаний
1656,око
1657,пожива
1658,бити
1659,плов
1660,весн€ний
1661,ричати
1662,гром
1663,г≥рський
1664,верх
1665,дух
1666,злий
1667,холод
1668,в≥€ти
1669,од
1670,чорногора
1671,з'€вл€тис€
1672,сонце
1673,правий
1674,божий
1675,лице
1676,дзвонити
1677,коса
1678,класти
1679,с≥но
1680,пол≥г
1681,гора
1682,гора
1683,поточка
1684,поточок
1685,пурха
1686,коломийка
1687,легенький
1688,прозорий
1689,чути
1690,од
1691,плече
1692,тр≥пати
1693,крильц€
1694,приб≥гти
1695,полонинка
1696,б≥лай
1697,овечка
1698,любити
1699,файна
1700,любко
1701,словечка
1702,тихо
1703,дзвонити
1704,хво€
1705,смерек
1706,тихо
1707,шептати
1708,л≥с
1709,холодний
1710,сон
1711,л≥тн≥й
1712,н≥ч
1713,плакати
1714,дзв≥нка
1715,коров
1716,гора
1717,безперестанку
1718,спускати
1719,сум
1720,св≥й
1721,пот≥к
1722,3
1723,луск≥т
1724,зойк
1725,лет≥ти
1726,десь
1727,долина
1728,зрубаний
1729,дерево
1730,л≥с
1731,гора
1732,одв≥тно
1733,з≥тхати
1734,плакати
1735,тремб≥та
1736,смерть
1737,спочити
1738,хтось
1739,нав≥ки
1740,т€жкий
1741,прац€
1742,закувала
1743,зозуленька
1744,коло
1745,менчила
1746,от
1747,сп≥ваночка
1748,хтось
1749,си
1750,ск≥нчити
1751,мар≥чка
1752,обзивалась
1753,гра
1754,фло€ра
1755,самичка
1756,дикий
1757,голуб
1758,сп≥ванка
1759,знати
1760,безл≥ч
1761,зв≥дки
1762,з'€вл€лись
1763,могти
1764,розказати
1765,гойдалис€
1766,колиска
1767,хлюпались
1768,куп≥ль
1769,родились
1770,груди
1771,сходити
1772,кв≥тка
1773,самос≥йний
1774,с≥ножать
1775,смерека
1776,рости
1777,гора
1778,око
1779,впасти
1780,статис€
1781,св≥т
1782,пропасти
1783,овечка
1784,полюбити
1785,леі≥нь
1786,зрадити
1787,д≥вка
1788,заслабла
1789,корова
1790,зашум≥ти
1791,смерека
1792,виливалось
1793,п≥сн€
1794,легкий
1795,простий
1796,гора
1797,давн≥м
1798,перв≥сн≥м
1799,житт€
1800,мар≥чка
1801,вм≥ла
1802,складати
1803,п≥сн€
1804,сид€чи
1805,земл€
1806,≥ван
1807,об≥ймати
1808,кол≥но
1809,потиху
1810,гойдатис€
1811,такт
1812,круглий
1813,литка
1814,опалений
1815,сонце
1816,од
1817,кол≥но
1818,голий
1819,червоний
1820,онуч≥в
1821,чорн≥ли
1822,пола
1823,сорочка
1824,повний
1825,губа
1826,мило
1827,ламатис€
1828,починати
1829,зозулька
1830,закувала
1831,сивий
1832,маленький
1833,село
1834,≥складена
1835,п≥сенька
1836,новенький
1837,мар≥ччина
1838,п≥сн€
1839,опов≥дала
1840,знайомий
1841,под≥€
1842,св≥жу
1843,зчарувала
1844,андр≥й
1845,параска
1846,вмирав
1847,од
1848,навчати
1849,любити
1850,чужий
1851,молодиц€
1852,горе
1853,мати
1854,син
1855,загинути
1856,л≥с
1857,придушений
1858,дерево
1859,п≥сн€
1860,сумний
1861,простий
1862,ревний
1863,кра€ти
1864,серце
1865,к≥нчати
1866,ой
1867,кувати
1868,зозулька
1869,коло
1870,пот≥чок
1871,≥склав
1872,сп≥ваночка
1873,йванкова
1874,мар≥чка
1875,≥ванкова
1876,тринадц€ть
1877,л≥та
1878,дивний
1879,пасучи
1880,в≥вц€
1881,бачити
1882,цап
1883,перчить
1884,коза
1885,баран
1886,валувати
1887,в≥вц€
1888,природно
1889,в≥дколи
1890,св≥т
1891,св≥т
1892,жадний
1893,нечистий
1894,думка
1895,засм≥тити
1896,серце
1897,правда
1898,коза
1899,в≥вц€
1900,ставати
1901,од
1902,к≥тн≥
1903,людина
1904,помагати
1905,ворожка
1906,мар≥чка
1907,бо€тис€
1908,по€с
1909,гол≥м
1910,т≥ло
1911,носити
1912,часник
1913,€кий
1914,пошептати
1915,ворожка
1916,н≥що
1917,зашкодити
1918,згадка
1919,сей
1920,мар≥чка
1921,лукаво
1922,осм≥халась
1923,об≥ймати
1924,≥ван
1925,ши€
